Date,Product,Category,Region,Units_Sold,Revenue,Cost,Profit
2023-06-22,Headphones,Accessories,Phoenix,6,278.45,155.93,122.52
2023-12-12,Printer,Accessories,New York,10,1569.16,894.42,674.74
2023-08-03,Keyboard,Peripherals,Houston,17,1121.6,684.18,437.42
2023-03-09,Printer,Accessories,New York,1,1275.57,548.5,727.07
2023-09-25,Headphones,Accessories,New York,2,782.49,492.97,289.52
2023-12-21,Tablet,Electronics,Los Angeles,5,1919.29,882.87,1036.42
2023-06-03,Keyboard,Peripherals,Los Angeles,7,1251.6,713.41,538.19
2023-03-05,Phone,Electronics,New York,6,781.45,539.2,242.25
2023-12-11,Monitor,Peripherals,New York,20,1986.4,1291.16,695.24
2023-05-25,Monitor,Peripherals,Los Angeles,19,1809.92,1067.85,742.07
2023-08-19,Laptop,Electronics,Phoenix,20,2826.84,1300.35,1526.49
2023-03-06,Phone,Electronics,Los Angeles,6,659.09,283.41,375.68
2023-05-18,Laptop,Electronics,New York,6,2580.39,1264.39,1316.0
2023-04-29,Phone,Electronics,Los Angeles,12,1242.83,521.99,720.84
2023-02-07,Laptop,Electronics,Chicago,4,692.27,339.21,353.06
2023-01-14,Laptop,Electronics,New York,9,1611.05,1063.29,547.76
2023-09-25,Monitor,Peripherals,New York,20,776.4,465.84,310.56
2023-05-11,Keyboard,Peripherals,Chicago,11,237.19,116.22,120.97
2023-12-02,Keyboard,Peripherals,Houston,5,1370.65,685.33,685.33
2023-05-13,Tablet,Electronics,Houston,15,1471.61,897.68,573.93
2023-11-27,Monitor,Peripherals,New York,18,1374.54,563.56,810.98
2023-03-02,Phone,Electronics,Phoenix,2,1862.37,912.56,949.81
2023-05-25,Phone,Electronics,New York,14,1130.33,779.93,350.4
2023-09-13,Tablet,Electronics,Los Angeles,5,2909.78,1804.06,1105.72
2023-09-22,Keyboard,Peripherals,Los Angeles,14,1426.76,784.72,642.04
2023-07-27,Printer,Accessories,Houston,14,621.19,366.5,254.69
2023-03-16,Keyboard,Peripherals,New York,9,2919.6,1197.04,1722.56
2023-04-26,Phone,Electronics,Phoenix,18,659.18,428.47,230.71
2023-03-07,Headphones,Accessories,Los Angeles,16,2093.53,1381.73,711.8
2023-12-30,Headphones,Accessories,Houston,1,2531.49,1645.47,886.02
2023-07-27,Headphones,Accessories,Phoenix,7,1653.31,1140.78,512.53
2023-11-02,Laptop,Electronics,Phoenix,2,2456.05,1547.31,908.74
2023-12-25,Keyboard,Peripherals,New York,12,1395.02,795.16,599.86
2023-04-13,Phone,Electronics,Houston,17,495.43,312.12,183.31
2023-08-24,Printer,Accessories,Phoenix,5,2809.52,1264.28,1545.24
2023-09-28,Monitor,Peripherals,Phoenix,4,1158.34,695.0,463.34
2023-12-01,Phone,Electronics,Phoenix,2,1473.62,1031.53,442.09
2023-09-05,Printer,Accessories,Houston,8,924.12,646.88,277.24
2023-05-30,Monitor,Peripherals,Chicago,14,727.93,502.27,225.66
2023-04-15,Monitor,Peripherals,New York,4,620.06,322.43,297.63
2023-03-04,Monitor,Peripherals,Phoenix,18,2705.88,1488.23,1217.65
2023-01-08,Tablet,Electronics,Phoenix,7,2997.27,1558.58,1438.69
2023-03-27,Keyboard,Peripherals,Houston,11,1316.47,684.56,631.91
2023-12-02,Phone,Electronics,Houston,8,783.51,407.43,376.08
2023-10-11,Headphones,Accessories,New York,8,610.72,299.25,311.47
2023-02-22,Keyboard,Peripherals,Houston,19,290.89,171.63,119.26
2023-05-07,Tablet,Electronics,Houston,2,2732.89,1393.77,1339.12
2023-04-29,Phone,Electronics,Los Angeles,6,308.5,151.16,157.34
2023-01-05,Keyboard,Peripherals,Chicago,13,1910.19,1127.01,783.18
2023-08-01,Laptop,Electronics,Houston,6,578.3,323.85,254.45
2023-04-16,Phone,Electronics,Phoenix,18,812.39,349.33,463.06
2023-03-05,Tablet,Electronics,New York,16,2471.6,1013.36,1458.24
2023-07-29,Phone,Electronics,Houston,19,1019.67,489.44,530.23
2023-09-14,Keyboard,Peripherals,Houston,10,2701.18,1647.72,1053.46
2023-10-05,Phone,Electronics,Phoenix,11,1813.87,761.83,1052.04
2023-04-11,Printer,Accessories,Chicago,17,2948.32,1651.06,1297.26
2023-02-01,Tablet,Electronics,Chicago,16,941.79,452.06,489.73
2023-10-23,Printer,Accessories,Chicago,20,321.05,215.1,105.95
2023-09-26,Keyboard,Peripherals,Chicago,16,1158.04,509.54,648.5
2023-02-20,Phone,Electronics,Los Angeles,9,2803.44,1401.72,1401.72
2023-05-10,Headphones,Accessories,Phoenix,1,857.2,548.61,308.59
2023-08-30,Printer,Accessories,New York,19,818.77,368.45,450.32
2023-01-20,Laptop,Electronics,Houston,20,1411.78,917.66,494.12
2023-11-10,Phone,Electronics,Phoenix,13,2101.65,840.66,1260.99
2023-07-14,Headphones,Accessories,Los Angeles,9,506.22,318.92,187.3
2023-06-02,Printer,Accessories,Phoenix,20,881.08,537.46,343.62
2023-07-04,Tablet,Electronics,Los Angeles,17,2711.28,1816.56,894.72
2023-11-14,Laptop,Electronics,Phoenix,3,1238.94,607.08,631.86
2023-11-12,Tablet,Electronics,Phoenix,18,229.18,96.26,132.92
2023-12-11,Headphones,Accessories,Houston,3,1445.54,737.23,708.31
2023-11-25,Printer,Accessories,Phoenix,14,2821.36,1213.18,1608.18
2023-08-05,Phone,Electronics,New York,20,2635.63,1106.96,1528.67
2023-06-04,Printer,Accessories,Phoenix,16,2862.15,1202.1,1660.05
2023-03-12,Keyboard,Peripherals,Chicago,15,2451.01,1348.06,1102.95
2023-04-02,Monitor,Peripherals,Phoenix,19,2682.88,1341.44,1341.44
2023-12-18,Headphones,Accessories,Phoenix,6,817.65,384.3,433.35
2023-10-31,Headphones,Accessories,Phoenix,6,2311.24,1317.41,993.83
2023-11-16,Keyboard,Peripherals,Los Angeles,18,2971.04,1366.68,1604.36
2023-10-11,Tablet,Electronics,Los Angeles,1,2557.14,1585.43,971.71
2023-09-15,Laptop,Electronics,New York,3,630.72,397.35,233.37
2023-08-29,Printer,Accessories,Phoenix,18,220.77,97.14,123.63
2023-06-12,Headphones,Accessories,Los Angeles,4,1596.62,782.34,814.28
2023-03-30,Laptop,Electronics,Los Angeles,7,2820.01,1297.2,1522.81
2023-07-21,Tablet,Electronics,Phoenix,19,1679.62,1125.35,554.27
2023-04-22,Laptop,Electronics,Phoenix,19,2364.74,1489.79,874.95
2023-09-26,Tablet,Electronics,New York,1,2553.57,1761.96,791.61
2023-09-03,Monitor,Peripherals,Chicago,18,1050.08,472.54,577.54
2023-06-12,Laptop,Electronics,Houston,15,2080.49,1414.73,665.76
2023-08-23,Monitor,Peripherals,Los Angeles,6,2341.38,1194.1,1147.28
2023-05-27,Phone,Electronics,New York,2,2272.53,1477.14,795.39
2023-11-10,Laptop,Electronics,New York,13,1472.78,942.58,530.2
2023-04-13,Headphones,Accessories,Chicago,9,1040.01,572.01,468.0
2023-10-25,Phone,Electronics,Los Angeles,17,2320.99,1044.45,1276.54
2023-07-15,Headphones,Accessories,Chicago,16,1752.23,1121.43,630.8
2023-05-04,Phone,Electronics,Los Angeles,14,1544.62,648.74,895.88
2023-09-01,Printer,Accessories,New York,19,427.24,213.62,213.62
2023-09-26,Headphones,Accessories,New York,15,818.59,433.85,384.74
2023-04-30,Monitor,Peripherals,Phoenix,17,1608.01,948.73,659.28
2023-10-17,Headphones,Accessories,Phoenix,7,1850.45,795.69,1054.76
2023-08-10,Laptop,Electronics,Phoenix,16,611.93,330.44,281.49
2023-01-07,Keyboard,Peripherals,New York,8,2142.66,1499.86,642.8
2023-03-16,Headphones,Accessories,Chicago,20,352.55,158.65,193.9
2023-06-02,Tablet,Electronics,New York,11,374.51,254.67,119.84
2023-12-05,Tablet,Electronics,New York,13,1995.98,1237.51,758.47
2023-08-28,Headphones,Accessories,Los Angeles,11,859.06,420.94,438.12
2023-04-06,Monitor,Peripherals,Houston,2,2302.72,1174.39,1128.33
2023-06-09,Monitor,Peripherals,Houston,6,2221.91,1199.83,1022.08
2023-11-02,Laptop,Electronics,Los Angeles,18,2619.62,1205.03,1414.59
2023-10-19,Headphones,Accessories,Chicago,5,2743.44,1783.24,960.2
2023-08-17,Printer,Accessories,Phoenix,2,2192.18,1096.09,1096.09
2023-01-17,Headphones,Accessories,New York,17,2698.67,1673.18,1025.49
2023-01-27,Tablet,Electronics,Houston,6,553.52,238.01,315.51
2023-10-08,Headphones,Accessories,Chicago,10,1901.21,912.58,988.63
2023-02-23,Headphones,Accessories,New York,9,710.5,433.4,277.1
2023-12-07,Keyboard,Peripherals,Phoenix,15,790.11,481.97,308.14
2023-10-17,Keyboard,Peripherals,New York,18,2890.09,1878.56,1011.53
2023-01-22,Headphones,Accessories,New York,15,2764.31,1713.87,1050.44
2023-05-30,Monitor,Peripherals,New York,18,915.71,476.17,439.54
2023-06-09,Headphones,Accessories,New York,4,1402.72,897.74,504.98
2023-12-24,Phone,Electronics,New York,5,447.4,178.96,268.44
2023-12-16,Monitor,Peripherals,Phoenix,11,311.13,186.68,124.45
2023-10-07,Phone,Electronics,Chicago,11,1626.45,1138.51,487.94
2023-02-01,Monitor,Peripherals,Phoenix,9,447.59,219.32,228.27
2023-01-08,Laptop,Electronics,Phoenix,5,750.26,360.12,390.14
2023-04-06,Phone,Electronics,Chicago,3,2350.76,1457.47,893.29
2023-04-20,Headphones,Accessories,Houston,6,212.5,108.38,104.12
2023-03-10,Laptop,Electronics,New York,16,440.72,189.51,251.21
2023-02-21,Monitor,Peripherals,Houston,4,1025.65,687.19,338.46
2023-12-24,Printer,Accessories,New York,16,871.26,592.46,278.8
2023-09-27,Monitor,Peripherals,Los Angeles,15,801.56,529.03,272.53
2023-12-29,Laptop,Electronics,New York,14,2963.63,1837.45,1126.18
2023-07-12,Phone,Electronics,New York,18,1191.95,536.38,655.57
2023-09-04,Phone,Electronics,Houston,14,868.78,538.64,330.14
2023-12-02,Headphones,Accessories,Phoenix,15,1262.91,820.89,442.02
2023-01-03,Laptop,Electronics,New York,17,2215.02,1041.06,1173.96
2023-12-10,Printer,Accessories,Los Angeles,10,2910.49,1164.2,1746.29
2023-04-04,Tablet,Electronics,Chicago,19,2250.68,1350.41,900.27
2023-04-30,Headphones,Accessories,Phoenix,18,720.85,389.26,331.59
2023-10-27,Keyboard,Peripherals,Phoenix,15,2420.79,1186.19,1234.6
2023-04-01,Monitor,Peripherals,Chicago,4,979.74,558.45,421.29
2023-09-07,Headphones,Accessories,Houston,17,511.24,286.29,224.95
2023-04-16,Phone,Electronics,Houston,19,629.4,396.52,232.88
2023-02-25,Monitor,Peripherals,Houston,18,1568.95,627.58,941.37
2023-05-29,Laptop,Electronics,Houston,18,657.36,328.68,328.68
2023-03-28,Tablet,Electronics,Houston,11,2657.25,1806.93,850.32
2023-04-21,Tablet,Electronics,Los Angeles,20,422.11,282.81,139.3
2023-01-16,Phone,Electronics,Los Angeles,5,1232.39,801.05,431.34
2023-04-19,Monitor,Peripherals,Phoenix,17,1266.75,519.37,747.38
2023-05-14,Phone,Electronics,New York,8,2014.57,825.97,1188.6
2023-12-08,Headphones,Accessories,Phoenix,15,1346.54,579.01,767.53
2023-09-22,Headphones,Accessories,Los Angeles,8,2984.0,1939.6,1044.4
2023-02-13,Phone,Electronics,New York,8,200.03,136.02,64.01
2023-08-26,Monitor,Peripherals,Chicago,1,1562.18,1077.9,484.28
2023-01-30,Monitor,Peripherals,Phoenix,11,751.07,330.47,420.6
2023-02-22,Monitor,Peripherals,Los Angeles,4,2909.76,1629.47,1280.29
2023-12-05,Headphones,Accessories,Los Angeles,2,2944.56,2002.3,942.26
2023-03-08,Keyboard,Peripherals,Phoenix,8,898.89,611.25,287.64
2023-04-12,Tablet,Electronics,New York,8,1562.66,875.09,687.57
2023-02-05,Printer,Accessories,New York,2,1841.04,902.11,938.93
2023-08-17,Laptop,Electronics,Houston,8,2446.79,1198.93,1247.86
2023-05-01,Laptop,Electronics,New York,20,657.36,341.83,315.53
2023-01-13,Headphones,Accessories,Houston,9,1985.36,1052.24,933.12
2023-09-29,Laptop,Electronics,New York,6,1183.5,520.74,662.76
2023-04-03,Monitor,Peripherals,New York,6,1479.31,872.79,606.52
2023-05-07,Printer,Accessories,Houston,12,1622.45,778.78,843.67
2023-03-27,Keyboard,Peripherals,Phoenix,12,2941.88,1412.1,1529.78
2023-12-12,Monitor,Peripherals,Houston,19,1408.93,760.82,648.11
2023-06-16,Monitor,Peripherals,Los Angeles,16,927.35,370.94,556.41
2023-04-13,Laptop,Electronics,New York,4,2819.6,1860.94,958.66
2023-12-20,Monitor,Peripherals,Phoenix,7,2019.36,1211.62,807.74
2023-07-16,Headphones,Accessories,New York,15,898.27,529.98,368.29
2023-08-17,Keyboard,Peripherals,Chicago,2,2112.0,1224.96,887.04
2023-12-29,Tablet,Electronics,Chicago,19,352.95,229.42,123.53
2023-12-07,Phone,Electronics,Chicago,20,935.64,552.03,383.61
2023-06-30,Tablet,Electronics,Phoenix,9,306.38,140.93,165.45
2023-03-21,Tablet,Electronics,Phoenix,3,741.41,422.6,318.81
2023-06-02,Keyboard,Peripherals,Los Angeles,1,2529.41,1290.0,1239.41
2023-10-23,Monitor,Peripherals,Los Angeles,6,2593.13,1115.05,1478.08
2023-01-29,Headphones,Accessories,Phoenix,7,1347.62,929.86,417.76
2023-09-17,Tablet,Electronics,New York,2,1119.06,537.15,581.91
2023-12-24,Tablet,Electronics,Phoenix,2,2026.35,1377.92,648.43
2023-07-15,Laptop,Electronics,Phoenix,16,1528.02,764.01,764.01
2023-04-13,Laptop,Electronics,New York,19,1478.13,975.57,502.56
2023-07-21,Printer,Accessories,New York,8,1888.0,849.6,1038.4
2023-09-29,Printer,Accessories,Los Angeles,10,2698.34,1726.94,971.4
2023-08-17,Laptop,Electronics,Houston,14,2712.23,1654.46,1057.77
2023-06-15,Keyboard,Peripherals,Chicago,17,1485.35,950.62,534.73
2023-09-05,Monitor,Peripherals,Houston,17,1685.27,1129.13,556.14
2023-10-16,Headphones,Accessories,Houston,11,1158.91,475.15,683.76
2023-05-18,Monitor,Peripherals,New York,14,2832.33,1472.81,1359.52
2023-03-24,Keyboard,Peripherals,Los Angeles,14,1101.4,682.87,418.53
2023-05-15,Tablet,Electronics,Houston,8,260.85,140.86,119.99
2023-08-12,Laptop,Electronics,Chicago,14,1774.55,976.0,798.55
2023-01-09,Printer,Accessories,Houston,7,1851.09,758.95,1092.14
2023-04-04,Phone,Electronics,Phoenix,10,1289.69,838.3,451.39
2023-12-27,Keyboard,Peripherals,New York,12,1532.19,858.03,674.16
2023-09-02,Printer,Accessories,Phoenix,10,1630.63,994.68,635.95
2023-05-05,Headphones,Accessories,Phoenix,3,2355.93,1201.52,1154.41
2023-01-04,Laptop,Electronics,Los Angeles,20,483.4,328.71,154.69
2023-07-20,Keyboard,Peripherals,New York,16,1958.32,1096.66,861.66
2023-07-22,Laptop,Electronics,Phoenix,19,1526.77,732.85,793.92
2023-02-12,Phone,Electronics,Phoenix,10,1413.38,975.23,438.15
2023-04-10,Keyboard,Peripherals,New York,15,983.18,570.24,412.94
2023-02-01,Keyboard,Peripherals,New York,19,2689.95,1425.67,1264.28
2023-12-12,Keyboard,Peripherals,Phoenix,18,2428.84,1141.55,1287.29
2023-08-13,Monitor,Peripherals,New York,14,1995.46,1257.14,738.32
2023-11-16,Printer,Accessories,Phoenix,12,288.24,123.94,164.3
2023-04-17,Phone,Electronics,Los Angeles,3,2455.24,1276.72,1178.52
2023-05-04,Monitor,Peripherals,Chicago,6,1464.69,615.17,849.52
2023-06-13,Phone,Electronics,Phoenix,11,787.71,322.96,464.75
2023-07-14,Monitor,Peripherals,Houston,11,2157.57,1165.09,992.48
2023-03-14,Tablet,Electronics,Houston,4,1205.79,482.32,723.47
2023-12-30,Printer,Accessories,Phoenix,4,2657.99,1408.73,1249.26
2023-08-02,Phone,Electronics,Chicago,4,1812.3,1069.26,743.04
2023-06-22,Monitor,Peripherals,Houston,12,2216.99,1175.0,1041.99
2023-09-24,Printer,Accessories,Houston,7,767.14,414.26,352.88
2023-04-27,Tablet,Electronics,New York,16,1871.29,1066.64,804.65
2023-05-01,Printer,Accessories,Chicago,11,471.72,221.71,250.01
2023-08-05,Headphones,Accessories,Chicago,14,1201.95,817.33,384.62
2023-04-17,Keyboard,Peripherals,Chicago,20,1977.38,1008.46,968.92
2023-03-08,Tablet,Electronics,Los Angeles,18,2252.41,1148.73,1103.68
2023-12-09,Headphones,Accessories,Houston,20,2056.27,1110.39,945.88
2023-10-23,Tablet,Electronics,New York,19,2543.17,1551.33,991.84
2023-03-28,Headphones,Accessories,New York,18,2720.34,1468.98,1251.36
2023-01-25,Monitor,Peripherals,New York,14,2065.98,929.69,1136.29
2023-07-30,Phone,Electronics,Chicago,7,2531.86,1038.06,1493.8
2023-09-24,Headphones,Accessories,Houston,2,2230.23,1226.63,1003.6
2023-03-15,Monitor,Peripherals,Chicago,19,394.55,252.51,142.04
2023-08-04,Keyboard,Peripherals,Chicago,7,1336.84,548.1,788.74
2023-03-11,Tablet,Electronics,Chicago,11,929.66,381.16,548.5
2023-11-04,Headphones,Accessories,Phoenix,7,1319.13,791.48,527.65
2023-05-03,Headphones,Accessories,Houston,9,2845.69,1451.3,1394.39
2023-01-24,Printer,Accessories,Chicago,2,1615.06,1098.24,516.82
2023-04-20,Keyboard,Peripherals,New York,20,1902.25,1027.22,875.03
2023-09-16,Laptop,Electronics,Chicago,20,267.5,184.57,82.93
2023-05-21,Monitor,Peripherals,New York,9,1308.61,575.79,732.82
2023-05-26,Headphones,Accessories,Chicago,14,2767.4,1798.81,968.59
2023-05-14,Headphones,Accessories,Chicago,14,2054.13,1396.81,657.32
2023-06-26,Keyboard,Peripherals,Chicago,3,2232.53,1160.92,1071.61
2023-09-20,Tablet,Electronics,New York,2,228.87,157.92,70.95
2023-06-13,Printer,Accessories,Los Angeles,11,676.3,351.68,324.62
2023-05-18,Printer,Accessories,Phoenix,19,2048.29,880.76,1167.53
2023-11-28,Laptop,Electronics,Phoenix,11,2762.26,1767.85,994.41
2023-06-22,Laptop,Electronics,Phoenix,9,965.2,492.25,472.95
2023-11-16,Keyboard,Peripherals,New York,1,764.84,344.18,420.66
2023-02-15,Phone,Electronics,Houston,20,2461.04,1353.57,1107.47
2023-03-04,Phone,Electronics,Chicago,13,366.6,190.63,175.97
2023-11-16,Printer,Accessories,New York,10,2057.35,1090.4,966.95
2023-01-17,Tablet,Electronics,Chicago,3,1729.48,916.62,812.86
2023-05-07,Phone,Electronics,New York,8,1896.22,1213.58,682.64
2023-04-30,Printer,Accessories,Los Angeles,14,2570.88,1619.65,951.23
2023-10-14,Keyboard,Peripherals,Phoenix,20,574.12,321.51,252.61
2023-10-30,Headphones,Accessories,Houston,5,2388.04,1170.14,1217.9
2023-07-12,Printer,Accessories,Chicago,12,1668.3,867.52,800.78
2023-12-05,Printer,Accessories,Chicago,11,2257.29,1489.81,767.48
2023-02-01,Monitor,Peripherals,New York,1,1637.07,703.94,933.13
2023-03-29,Printer,Accessories,Chicago,10,1140.73,661.62,479.11
2023-07-13,Tablet,Electronics,Houston,12,1639.75,705.09,934.66
2023-09-21,Headphones,Accessories,Chicago,17,2818.99,1832.34,986.65
2023-06-07,Monitor,Peripherals,Houston,9,2924.21,1462.11,1462.11
2023-02-16,Tablet,Electronics,Chicago,11,1736.18,1059.07,677.11
2023-05-06,Laptop,Electronics,Houston,5,1589.32,937.7,651.62
2023-10-12,Printer,Accessories,Los Angeles,14,1816.39,1198.82,617.57
2023-03-27,Laptop,Electronics,Chicago,16,2167.13,1018.55,1148.58
2023-03-26,Keyboard,Peripherals,New York,19,2943.34,1530.54,1412.8
2023-11-24,Keyboard,Peripherals,New York,18,2463.31,1428.72,1034.59
2023-06-23,Phone,Electronics,Chicago,19,2205.5,1279.19,926.31
2023-06-24,Monitor,Peripherals,Los Angeles,17,2828.94,1414.47,1414.47
2023-08-07,Printer,Accessories,Los Angeles,9,2956.58,1419.16,1537.42
2023-06-07,Laptop,Electronics,Los Angeles,4,2545.48,1221.83,1323.65
2023-08-26,Phone,Electronics,New York,18,213.4,128.04,85.36
2023-09-05,Keyboard,Peripherals,Phoenix,2,435.59,222.15,213.44
2023-01-06,Headphones,Accessories,Los Angeles,20,2333.93,1517.05,816.88
2023-07-08,Keyboard,Peripherals,New York,2,2516.84,1233.25,1283.59
2023-08-24,Monitor,Peripherals,Phoenix,8,289.77,130.4,159.37
2023-07-11,Monitor,Peripherals,Chicago,2,2222.08,1555.46,666.62
2023-05-26,Printer,Accessories,Chicago,12,2503.63,1276.85,1226.78
2023-02-25,Laptop,Electronics,Houston,6,2088.13,1127.59,960.54
2023-06-13,Tablet,Electronics,New York,11,998.88,439.51,559.37
2023-12-16,Tablet,Electronics,Chicago,9,2214.54,1173.71,1040.83
2023-06-29,Printer,Accessories,New York,16,1223.72,538.44,685.28
2023-06-23,Tablet,Electronics,Phoenix,4,1737.59,1025.18,712.41
2023-04-13,Phone,Electronics,Chicago,18,516.5,325.39,191.1
2023-02-06,Monitor,Peripherals,Chicago,18,1239.57,656.97,582.6
2023-07-15,Monitor,Peripherals,Phoenix,7,2436.77,1535.17,901.6
2023-09-23,Laptop,Electronics,Phoenix,3,1235.21,543.49,691.72
2023-01-26,Keyboard,Peripherals,Los Angeles,11,2830.75,1302.14,1528.61
2023-03-30,Phone,Electronics,Houston,12,1723.21,758.21,965.0
2023-05-24,Phone,Electronics,Chicago,16,2621.59,1468.09,1153.5
2023-08-16,Monitor,Peripherals,Houston,19,2995.08,1886.9,1108.18
2023-04-22,Tablet,Electronics,Phoenix,11,1388.29,791.33,596.96
2023-12-12,Phone,Electronics,Chicago,2,874.28,437.14,437.14
2023-08-17,Headphones,Accessories,Chicago,16,1798.46,755.35,1043.11
2023-02-04,Monitor,Peripherals,Phoenix,3,1936.98,871.64,1065.34
2023-12-28,Laptop,Electronics,Chicago,17,1027.17,472.5,554.67
2023-12-13,Tablet,Electronics,Chicago,2,707.23,396.05,311.18
2023-09-05,Keyboard,Peripherals,Los Angeles,15,1554.8,668.56,886.24
2023-05-14,Monitor,Peripherals,Phoenix,17,2389.56,1433.74,955.82
2023-10-06,Printer,Accessories,Houston,20,1508.57,1010.74,497.83
2023-02-25,Headphones,Accessories,Los Angeles,17,2087.82,981.28,1106.54
2023-12-19,Monitor,Peripherals,Los Angeles,5,1449.68,811.82,637.86
2023-03-27,Headphones,Accessories,Phoenix,3,282.42,180.75,101.67
2023-02-14,Printer,Accessories,Phoenix,1,2605.85,1745.92,859.93
2023-04-06,Tablet,Electronics,New York,20,1718.1,687.24,1030.86
2023-12-28,Tablet,Electronics,Houston,7,2367.56,1562.59,804.97
2023-05-16,Keyboard,Peripherals,Houston,3,2468.35,1283.54,1184.81
2023-09-12,Phone,Electronics,Los Angeles,18,861.04,542.46,318.58
2023-05-15,Laptop,Electronics,Phoenix,12,1488.74,1027.23,461.51
2023-10-09,Laptop,Electronics,Chicago,11,1608.52,900.77,707.75
2023-07-05,Monitor,Peripherals,Chicago,1,2909.93,1193.07,1716.86
2023-02-08,Laptop,Electronics,New York,2,2274.09,1068.82,1205.27
2023-05-09,Phone,Electronics,Chicago,20,2036.6,855.37,1181.23
2023-03-29,Laptop,Electronics,Los Angeles,10,2947.02,1974.5,972.52
2023-06-03,Tablet,Electronics,Los Angeles,7,994.51,666.32,328.19
2023-11-15,Phone,Electronics,New York,2,1943.86,971.93,971.93
2023-08-16,Phone,Electronics,New York,11,2055.6,1171.69,883.91
2023-10-02,Laptop,Electronics,Phoenix,4,2422.94,1041.86,1381.08
2023-07-27,Printer,Accessories,Los Angeles,20,1094.9,503.65,591.25
2023-02-13,Headphones,Accessories,Houston,18,1490.06,923.84,566.22
2023-08-22,Keyboard,Peripherals,Los Angeles,12,1979.39,1128.25,851.14
2023-03-07,Headphones,Accessories,New York,19,2379.14,951.66,1427.48
2023-10-21,Tablet,Electronics,Houston,18,2216.66,1418.66,798.0
2023-02-04,Printer,Accessories,Houston,4,1080.18,604.9,475.28
2023-12-15,Phone,Electronics,Houston,12,1487.97,848.14,639.83
2023-03-17,Monitor,Peripherals,New York,5,1520.55,881.92,638.63
2023-11-17,Monitor,Peripherals,New York,1,1995.02,1177.06,817.96
2023-01-29,Keyboard,Peripherals,Los Angeles,1,2072.68,1347.24,725.44
2023-05-11,Monitor,Peripherals,Phoenix,4,2166.39,909.88,1256.51
2023-10-05,Laptop,Electronics,Los Angeles,13,2066.21,1157.08,909.13
2023-08-11,Laptop,Electronics,New York,9,519.48,264.93,254.55
2023-06-17,Laptop,Electronics,Houston,13,1021.64,418.87,602.77
2023-10-04,Keyboard,Peripherals,Los Angeles,4,2301.84,1404.12,897.72
